area_type,availability,location,size,society,total_sqft,bath,balcony,price
Plot Area,1 Year,Kadugodi,3 BHK,Sobha Dream Acres,1609,2,2,112.18
Plot Area,1 Year,Jayanagar,2 BHK,Prestige Song of the South,1249,1,1,188.52
Carpet Area,Immediate Possession,HSR Layout Sector 2,3 BHK,Row House,1366,3,1,100.7
Carpet Area,Under Construction,Bellandur,3 BHK,Godrej United,1535,2,2,116.86
Plot Area,Immediate Possession,Thanisandra,3 BHK,Mantri Serenity,1593,1,3,49.22
Built-up Area,1 Year,Kengeri Satellite Town,3 BHK,Mantri Espana,1584,2,1,72.6
Carpet Area,Ready To Move,Domlur,2 BHK,Embassy Boulevard,1006,1,1,87.02
Built-up Area,Under Construction,Basavanagudi,4 BHK,Brigade Millennium,2311,4,0,147.65
Plot Area,6 Months,Malleshwaram,2 BHK,Purva Panorama,1021,1,0,99.01
Built-up Area,1 Year,Banaswadi,2 BHK,Prestige Song of the South,1106,1,2,27.77
Built-up Area,Under Construction,Ramamurthy Nagar,4 BHK,Prestige Shantiniketan,2443,4,3,110.63
Built-up Area,Under Construction,Kalyan Nagar,4 BHK,Builder Floor,2253,2,1,167.69
Built-up Area,2 Years,Indiranagar,3 BHK,Embassy Springs,1293,1,1,210.31
Plot Area,1 Year,Bannerghatta Road,1 BHK,Builder Floor,657,1,3,36.12
Plot Area,2 Years,Hennur,2 BHK,Row House,1212,1,1,40.81
Plot Area,Immediate Possession,Yeshwanthpur,2 BHK,Prestige Golfshire,1081,1,1,72.26
Carpet Area,2 Years,HSR Layout Sector 6,2 BHK,Builder Floor,992,1,3,113.32
Built-up Area,New Launch,HSR Layout Sector 6,4 BHK,Purva Highlands,2225,4,2,181.05
Carpet Area,Under Construction,Vijayanagar,3 BHK,Brigade Orchards,1672,2,1,55.53
Super built-up Area,Under Construction,Kadugodi,3 BHK,Brigade Gateway,1345,2,3,86.17
Built-up Area,1 Year,KR Puram,2 BHK,Mantri Serenity,1156,2,1,46.52
Plot Area,New Launch,Banaswadi,2 BHK,Standalone Villa,1017,1,3,46.92
Super built-up Area,Under Construction,Banaswadi,3 BHK,Sobha Silicon Oaks,1489,1,3,70.66
Super built-up Area,2 Years,Koramangala 7th Block,5 BHK,Prestige Song of the South,3309,3,1,418.64
Carpet Area,New Launch,Whitefield,5 BHK,Prestige Song of the South,3006,3,2,89.21
Built-up Area,Immediate Possession,Koramangala 4th Block,4 BHK,Salarpuria Greenage,2287,3,1,143.93
Plot Area,Ready To Move,Kalyan Nagar,2 BHK,Prestige Song of the South,1105,1,2,92.92
Plot Area,1 Year,BTM Layout 2nd Stage,2 BHK,Sobha Windfall,1378,1,0,54.04
Super built-up Area,Immediate Possession,Bannerghatta Road,2 BHK,Brigade Millennium,1062,2,3,80.15
Plot Area,Under Construction,BTM Layout 1st Stage,2 BHK,Mantri Alpyne,1211,1,2,95.29
Carpet Area,Immediate Possession,Indiranagar,3 BHK,Purva Fountain Square,1494,2,3,151.03
Carpet Area,New Launch,Thanisandra,5 BHK,Prestige Song of the South,3372,4,2,224.73
Carpet Area,2 Years,Banaswadi,2 BHK,Mantri Espana,1059,1,1,55.08
Super built-up Area,New Launch,Electronic City,4 BHK,Salarpuria Greenage,1958,4,3,137.86
Super built-up Area,2 Years,BTM Layout 1st Stage,3 BHK,Brigade Millennium,1546,2,1,65.76
Super built-up Area,6 Months,Jayanagar,4 BHK,Brigade Gateway,2084,3,3,239.59
Plot Area,1 Year,Bannerghatta Road,5 BHK,Embassy Springs,2697,4,2,115.7
Carpet Area,2 Years,Thanisandra,2 BHK,Embassy Lake Terraces,1151,1,2,71.67
Super built-up Area,2 Years,HSR Layout Sector 1,2 BHK,Sobha Windfall,1125,1,1,126.07
Super built-up Area,New Launch,Marathahalli,1 BHK,Prestige Song of the South,701,1,3,46.74
Built-up Area,Ready To Move,Vijayanagar,2 BHK,Embassy Boulevard,1049,2,2,58.6
Carpet Area,2 Years,Basaveshwara Nagar,4 BHK,Embassy Springs,2315,4,2,140.87
Plot Area,1 Year,Varthur,4 BHK,Embassy Lake Terraces,2671,4,2,125.99
Carpet Area,Ready To Move,Domlur,2 BHK,Sobha Silicon Oaks,1117,1,1,122.71
Plot Area,New Launch,Marathahalli,2 BHK,Mantri Alpyne,1094,1,2,124.18
Built-up Area,1 Year,Kalyan Nagar,1 BHK,Builder Floor,719,1,3,48.77
Plot Area,Immediate Possession,HSR Layout Sector 2,3 BHK,Godrej United,1663,2,2,251.12
Built-up Area,2 Years,Kadugodi,5 BHK,Mantri Espana,3227,4,1,254.01
Built-up Area,2 Years,Hennur,3 BHK,Mantri Alpyne,1746,1,1,89.78
Super built-up Area,Immediate Possession,Hoodi,4 BHK,Purva Fountain Square,2570,3,3,81.27
Built-up Area,New Launch,Mahadevapura,4 BHK,Prestige Golfshire,2141,3,1,109.07
Carpet Area,6 Months,Kengeri,2 BHK,Prestige Shantiniketan,1099,1,1,23.11
Built-up Area,1 Year,HSR Layout,3 BHK,Sobha Silicon Oaks,1693,1,2,116.57
Built-up Area,1 Year,Koramangala 5th Block,2 BHK,Salarpuria Divinity,1100,1,2,112.72
Super built-up Area,Ready To Move,Hennur,2 BHK,Sobha Dream Acres,1098,1,3,52.87
Built-up Area,New Launch,Ramamurthy Nagar,1 BHK,Embassy Lake Terraces,771,1,0,20.0
Carpet Area,Immediate Possession,Koramangala 5th Block,3 BHK,Row House,1801,2,1,183.26
Plot Area,New Launch,Varthur,2 BHK,Godrej Air,1129,1,3,49.8
Super built-up Area,1 Year,Basavanagudi,3 BHK,Purva Riviera,1496,2,1,209.09
Built-up Area,Under Construction,Sarjapur Road,1 BHK,Mantri Serenity,553,1,2,21.98
Carpet Area,Ready To Move,Kengeri,4 BHK,Purva Riviera,2498,3,1,98.09
Carpet Area,Under Construction,Basavanagudi,4 BHK,Godrej Air,2447,4,1,168.67
Built-up Area,New Launch,Vijayanagar,2 BHK,Sobha City,1162,2,3,62.06
Carpet Area,1 Year,Koramangala 5th Block,3 BHK,Prestige Lakeside Habitat,1434,1,1,79.98
Super built-up Area,6 Months,Marathahalli,3 BHK,Sobha Dream Acres,1681,1,1,68.12
Plot Area,New Launch,Kundanhalli,2 BHK,Godrej Aqua,1197,2,2,70.46
Plot Area,Ready To Move,Yelahanka,2 BHK,Purva Panorama,1094,1,2,40.37
Super built-up Area,6 Months,Mahadevapura,2 BHK,Godrej Eternity,971,1,1,79.83
Carpet Area,Ready To Move,Hebbal,2 BHK,Embassy Boulevard,1002,2,2,92.35
Plot Area,6 Months,Koramangala 5th Block,2 BHK,Salarpuria Greenage,1262,1,2,186.37
Plot Area,New Launch,Hennur,3 BHK,Godrej United,1429,2,0,91.56
Super built-up Area,6 Months,Koramangala 6th Block,2 BHK,Salarpuria Sattva,957,1,1,105.71
Built-up Area,New Launch,HSR Layout Sector 6,4 BHK,Mantri Espana,2130,3,1,129.98
Built-up Area,6 Months,Malleshwaram,4 BHK,Purva Panorama,2419,3,1,243.95
Plot Area,Immediate Possession,Whitefield,3 BHK,Salarpuria Divinity,1616,2,2,172.83
Built-up Area,New Launch,Koramangala,2 BHK,Sobha Dream Acres,1118,1,1,76.91
Built-up Area,New Launch,BTM Layout,2 BHK,Purva Riviera,1281,1,2,101.57
Built-up Area,1 Year,Sarjapur Road,2 BHK,Brigade Gateway,924,1,0,82.07
Super built-up Area,Ready To Move,Hebbal,2 BHK,Sobha Windfall,1162,1,2,113.78
Carpet Area,Immediate Possession,HSR Layout Sector 1,4 BHK,Embassy Springs,2657,2,2,301.84
Carpet Area,1 Year,Basaveshwara Nagar,2 BHK,Brigade Cosmopolis,934,1,3,68.0
Plot Area,Immediate Possession,Domlur,2 BHK,Mantri Espana,1182,2,0,116.28
Carpet Area,6 Months,Kalyan Nagar,5 BHK,Prestige Golfshire,3513,5,3,245.3
Built-up Area,1 Year,HSR Layout,4 BHK,Brigade Millennium,2307,3,2,268.85
Super built-up Area,2 Years,Koramangala 6th Block,2 BHK,Godrej Aqua,1054,1,1,109.92
Plot Area,New Launch,Koramangala 1st Block,3 BHK,Godrej Aqua,1565,1,1,220.57
Plot Area,Ready To Move,HSR Layout Sector 6,3 BHK,Salarpuria Divinity,1626,2,2,196.46
Carpet Area,New Launch,Banaswadi,2 BHK,Salarpuria Sattva,1171,1,2,46.03
Plot Area,1 Year,Hoodi,3 BHK,Embassy Pristine,1788,2,2,132.92
Plot Area,2 Years,BTM Layout 2nd Stage,3 BHK,Row House,1484,3,1,146.3
Super built-up Area,New Launch,Thanisandra,2 BHK,Prestige Golfshire,1008,1,1,46.81
Plot Area,2 Years,Sarjapur Road,3 BHK,Independent House,1457,3,3,163.4
Plot Area,Immediate Possession,BTM Layout 2nd Stage,5 BHK,Godrej Eternity,3197,4,1,204.91
Carpet Area,6 Months,Koramangala 1st Block,6 BHK,Embassy Pristine,5236,4,2,869.93
Built-up Area,New Launch,Indiranagar,2 BHK,Row House,1047,1,1,80.45
Plot Area,1 Year,Bommanahalli,2 BHK,Embassy Pristine,1063,2,2,43.06
Built-up Area,1 Year,Electronic City,4 BHK,Sobha Windfall,2494,3,1,134.21
Super built-up Area,6 Months,Koramangala 5th Block,3 BHK,Sobha Silicon Oaks,1488,3,3,167.09
Super built-up Area,Immediate Possession,Basavanagudi,4 BHK,Embassy Springs,2322,3,3,260.26
Carpet Area,6 Months,Mahadevapura,4 BHK,Brigade Orchards,2230,2,1,136.55
Plot Area,Under Construction,Kundanhalli,4 BHK,Mantri Alpyne,2254,3,1,137.04
Built-up Area,6 Months,KR Puram,4 BHK,Independent House,1800,3,2,72.19
Carpet Area,2 Years,BTM Layout,4 BHK,Sobha Silicon Oaks,2609,3,2,206.24
Carpet Area,2 Years,Domlur,4 BHK,Prestige Shantiniketan,2587,3,3,269.68
Carpet Area,2 Years,Nagarbhavi,4 BHK,Embassy Pristine,2501,3,2,205.44
Plot Area,New Launch,Hennur,2 BHK,Mantri Webcity,1063,1,2,44.65
Carpet Area,2 Years,Thanisandra,4 BHK,Purva Riviera,2321,3,2,117.88
Plot Area,Under Construction,Koramangala 6th Block,3 BHK,Sobha Silicon Oaks,1700,3,2,96.1
Plot Area,1 Year,Kadugodi,4 BHK,Prestige Song of the South,2444,2,2,176.58
Built-up Area,Immediate Possession,BTM Layout 2nd Stage,3 BHK,Sobha City,1623,2,0,150.55
Carpet Area,2 Years,Domlur,2 BHK,Salarpuria Sattva,997,1,2,90.79
Plot Area,Ready To Move,Marathahalli,1 BHK,Brigade Gateway,624,1,0,43.14
Built-up Area,Ready To Move,BTM Layout 1st Stage,4 BHK,Salarpuria Divinity,2387,3,1,84.11
Plot Area,1 Year,Hoodi,2 BHK,Mantri Espana,1165,1,1,115.14
Plot Area,New Launch,Banashankari,4 BHK,Embassy Pristine,2287,4,1,204.04
Super built-up Area,Under Construction,HSR Layout Sector 2,3 BHK,Sobha Dream Acres,1436,2,1,188.9
Super built-up Area,Immediate Possession,Kengeri Satellite Town,4 BHK,Salarpuria Sattva,2449,4,1,86.23
Built-up Area,1 Year,Hennur,4 BHK,Godrej Air,2501,4,1,152.18
Carpet Area,2 Years,Koramangala,4 BHK,Godrej Eternity,2491,3,2,325.72
Carpet Area,Immediate Possession,Varthur,2 BHK,Brigade Gateway,1225,1,1,63.8
Plot Area,6 Months,Koramangala 1st Block,2 BHK,Godrej Aqua,1280,1,1,164.19
Super built-up Area,6 Months,Rajajinagar,2 BHK,Prestige Song of the South,1037,1,1,110.72
Built-up Area,Under Construction,Mahadevapura,3 BHK,Mantri Alpyne,1277,2,1,111.44
Carpet Area,1 Year,Thanisandra,4 BHK,Prestige Shantiniketan,2395,2,1,92.12
Built-up Area,Ready To Move,Bommanahalli,3 BHK,Purva Highlands,1446,2,2,87.93
Carpet Area,1 Year,Koramangala 7th Block,3 BHK,Godrej United,1483,2,1,108.97
Carpet Area,Under Construction,Thanisandra,3 BHK,Prestige Song of the South,1563,1,2,54.6
Built-up Area,Immediate Possession,Marathahalli,2 BHK,Salarpuria Misty Charm,1128,1,2,49.44
Carpet Area,Ready To Move,Basaveshwara Nagar,4 BHK,Brigade Cosmopolis,2271,3,3,225.98
Super built-up Area,6 Months,Whitefield,3 BHK,Embassy Pristine,1615,2,2,194.16
Carpet Area,Under Construction,Basavanagudi,3 BHK,Purva Riviera,1508,2,2,76.44
Built-up Area,1 Year,Banashankari,4 BHK,Salarpuria Sattva,2194,4,2,128.46
Plot Area,Ready To Move,Bellandur,3 BHK,Embassy Lake Terraces,1886,2,2,196.86
Carpet Area,New Launch,HSR Layout,2 BHK,Sobha Silicon Oaks,1050,1,0,67.01
Built-up Area,2 Years,Jayanagar,4 BHK,Standalone Villa,2066,3,2,190.68
Carpet Area,2 Years,Koramangala 1st Block,3 BHK,Sobha Windfall,1392,2,2,259.13
Carpet Area,1 Year,Kundanhalli,5 BHK,Mantri Webcity,3240,5,1,201.78
Super built-up Area,Under Construction,Thanisandra,5 BHK,Salarpuria Greenage,3383,3,2,103.18
Carpet Area,Ready To Move,Koramangala 5th Block,4 BHK,Brigade Cosmopolis,2479,4,3,188.45
Super built-up Area,Immediate Possession,Yelahanka,5 BHK,Embassy Lake Terraces,3331,4,1,196.91
Plot Area,2 Years,Koramangala 7th Block,3 BHK,Embassy Lake Terraces,1551,3,2,196.4
Built-up Area,Immediate Possession,Banashankari,2 BHK,Brigade Millennium,1137,1,1,62.31
Built-up Area,1 Year,HSR Layout Sector 2,4 BHK,Purva Panorama,2632,2,1,241.87
Carpet Area,1 Year,Basaveshwara Nagar,2 BHK,Sobha Silicon Oaks,890,2,2,50.89
Super built-up Area,Ready To Move,Bannerghatta Road,3 BHK,Godrej Air,1543,1,2,87.05
Super built-up Area,Under Construction,Sarjapur Road,1 BHK,Standalone Villa,656,1,1,59.05
Plot Area,New Launch,KR Puram,3 BHK,Standalone Villa,1657,1,3,87.44
Built-up Area,Immediate Possession,Koramangala 7th Block,2 BHK,Salarpuria Sattva,1105,1,3,78.97
Plot Area,New Launch,HSR Layout Sector 2,3 BHK,Sobha City,1589,2,2,189.66
Plot Area,Immediate Possession,JP Nagar,3 BHK,Embassy Boulevard,1320,2,2,241.32
Carpet Area,6 Months,Marathahalli,2 BHK,Salarpuria Misty Charm,996,2,2,49.63
Carpet Area,Under Construction,Ramamurthy Nagar,4 BHK,Embassy Springs,2509,2,2,75.63
Built-up Area,1 Year,HSR Layout,3 BHK,Brigade Millennium,1649,3,2,165.34
Built-up Area,Under Construction,Hoodi,1 BHK,Mantri Serenity,613,1,2,38.09
Built-up Area,6 Months,Koramangala 5th Block,3 BHK,Mantri Serenity,1448,2,2,150.38
Built-up Area,2 Years,Hoodi,6 BHK,Prestige Shantiniketan,5169,5,2,391.89
Built-up Area,6 Months,Hebbal,4 BHK,Prestige Golfshire,2491,3,1,235.62
Super built-up Area,Under Construction,Sarjapur Road,4 BHK,Prestige Shantiniketan,2544,3,1,216.47
Carpet Area,Ready To Move,Malleshwaram,3 BHK,Godrej Aqua,1617,2,0,79.01
Built-up Area,1 Year,Indiranagar,3 BHK,Sobha Silicon Oaks,1482,3,1,226.8
Super built-up Area,Immediate Possession,Kengeri Satellite Town,2 BHK,Purva Highlands,968,1,0,79.13
Super built-up Area,Immediate Possession,Domlur,3 BHK,Independent House,1300,2,3,75.92
Super built-up Area,1 Year,HSR Layout Sector 2,1 BHK,Builder Floor,753,1,1,28.86
Super built-up Area,Ready To Move,Thanisandra,3 BHK,Salarpuria Divinity,1910,1,2,149.63
Super built-up Area,Immediate Possession,Kalyan Nagar,5 BHK,Purva Highlands,3463,5,0,369.41
Carpet Area,6 Months,HSR Layout,2 BHK,Brigade Gateway,1081,2,1,76.58
Carpet Area,6 Months,Bannerghatta Road,2 BHK,Row House,1090,1,1,63.19
Carpet Area,Immediate Possession,KR Puram,3 BHK,Independent House,1802,1,1,103.0
Super built-up Area,2 Years,Marathahalli,2 BHK,Row House,1078,1,2,63.79
Plot Area,Under Construction,Kalyan Nagar,4 BHK,Sobha Silicon Oaks,2432,3,1,130.86
Plot Area,Immediate Possession,Thanisandra,4 BHK,Salarpuria Sattva,2510,3,2,163.55
Carpet Area,1 Year,Kalyan Nagar,5 BHK,Prestige Golfshire,3552,4,3,246.74
Plot Area,Ready To Move,Hebbal,3 BHK,Mantri Espana,1512,3,1,77.9
Plot Area,Ready To Move,HSR Layout,4 BHK,Embassy Lake Terraces,2561,3,1,222.06
Super built-up Area,6 Months,Koramangala 5th Block,3 BHK,Row House,1637,2,1,115.64
Super built-up Area,Immediate Possession,BTM Layout 2nd Stage,4 BHK,Salarpuria Misty Charm,2329,2,0,231.06
Super built-up Area,New Launch,Nagarbhavi,3 BHK,Godrej Air,1580,2,2,59.47
Built-up Area,Under Construction,Marathahalli,3 BHK,Salarpuria Divinity,1642,2,1,84.7
Carpet Area,2 Years,Marathahalli,3 BHK,Row House,1819,2,2,139.47
Carpet Area,6 Months,Sarjapur Road,2 BHK,Salarpuria Greenage,990,1,1,43.65
Super built-up Area,6 Months,Koramangala 5th Block,2 BHK,Brigade Orchards,1023,2,2,100.56
Carpet Area,1 Year,Rajajinagar,4 BHK,Godrej Air,2493,3,1,352.91
Super built-up Area,Under Construction,Varthur,6 BHK,Brigade Gateway,4246,4,2,446.49
Built-up Area,1 Year,BTM Layout,3 BHK,Brigade Millennium,1613,3,3,96.85
Built-up Area,Immediate Possession,Kengeri Satellite Town,2 BHK,Sobha Silicon Oaks,1008,1,2,38.14
Built-up Area,New Launch,Hoodi,4 BHK,Godrej Air,2663,3,2,78.4
Super built-up Area,Ready To Move,Koramangala 6th Block,6 BHK,Brigade Gateway,4618,5,3,845.34
Super built-up Area,1 Year,HSR Layout Sector 2,3 BHK,Mantri Espana,1500,2,2,154.44
Plot Area,Immediate Possession,Hennur,4 BHK,Purva Highlands,2370,2,2,110.06
Built-up Area,2 Years,Kengeri,2 BHK,Independent House,1109,2,1,52.67
Plot Area,Ready To Move,Varthur,3 BHK,Sobha Dream Acres,1313,1,2,103.34
Carpet Area,Ready To Move,Koramangala 1st Block,6 BHK,Salarpuria Greenage,4590,4,3,646.27
Super built-up Area,Ready To Move,HSR Layout Sector 1,3 BHK,Mantri Serenity,1587,2,3,188.8
Built-up Area,2 Years,JP Nagar,4 BHK,Prestige Golfshire,2299,3,1,159.03
Super built-up Area,Ready To Move,Kadugodi,3 BHK,Embassy Pristine,1480,1,3,139.69
Built-up Area,Immediate Possession,Rajajinagar,2 BHK,Standalone Villa,1346,1,2,91.71
Carpet Area,Ready To Move,Domlur,3 BHK,Brigade Cosmopolis,1425,3,1,94.35
Super built-up Area,Immediate Possession,Kalyan Nagar,1 BHK,Purva Panorama,634,1,1,44.42
Plot Area,6 Months,Koramangala 6th Block,3 BHK,Brigade Cosmopolis,1337,1,1,99.61
Super built-up Area,Immediate Possession,Bommanahalli,3 BHK,Brigade Millennium,1471,2,0,113.65
Plot Area,2 Years,Yeshwanthpur,2 BHK,Embassy Lake Terraces,1249,2,3,91.97
